img,other prob,covid prob,ground truth,predict label
1-s20-S0929664620300449-gr2_lrg-c.png,0.3296327,0.6703673,1,1
F63AB6CE-1968-4154-A70F-913AF154F53D.png,0.36058837,0.63941157,1,1
1-s20-S1684118220300608-mainpdf-001.png,0.36488965,0.6351104,1,1
9C34AF49-E589-44D5-92D3-168B3B04E4A6.png,0.5238394,0.47616065,1,0
1-s20-S0929664620300449-gr2_lrg-a.png,0.25327694,0.7467231,1,1
31BA3780-2323-493F-8AED-62081B9C383B.png,0.41955975,0.5804402,1,1
1-s20-S0929664620300449-gr2_lrg-d.png,0.3826705,0.61732954,1,1
41591_2020_819_Fig1_HTMLwebp-day10.png,0.26560766,0.73439234,1,1
radiol2020200490fig3.png,0.23893952,0.7610605,1,1
nejmoa2001191_f3-PA.png,0.20321938,0.7967806,1,1
kjr-21-e25-g001-l-a.png,0.5948935,0.4051065,1,0
nejmoa2001191_f1-PA.png,0.37236324,0.6276368,1,1
ryct2020200028fig1a.png,0.40660295,0.593397,1,1
kjr-21-e24-g003-l-a.png,0.5664123,0.43358767,1,0
1-s20-S1684118220300608-mainpdf-002.png,0.24545293,0.7545471,1,1
kjr-21-e24-g001-l-a.png,0.5235186,0.4764814,1,0
ciaa199pdf-001-a.png,0.49918097,0.50081897,1,1
93FE0BB1-022D-4F24-9727-987A07975FFB.png,0.51006687,0.48993307,1,0
ryct2020200034fig2.png,0.36562738,0.63437265,1,1
1-s20-S0140673620303706-fx1_lrg.png,0.21799293,0.7820071,1,1
1312A392-67A3-4EBF-9319-810CF6DA5EF6.png,0.51715493,0.4828451,1,0
8FDE8DBA-CFBD-4B4C-B1A4-6F36A93B7E87.png,0.28009567,0.71990436,1,1
nCoV-radiol2020200269fig1-day7.png,0.3056312,0.69436884,1,1
7C69C012-7479-493F-8722-ABC29C60A2DD.png,0.510199,0.489801,1,0
ryct2020200034fig5-day7.png,0.48223406,0.5177659,1,1
auntminnie-c-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.png,0.19940355,0.8005965,1,1
gr1_lrg-a.png,0.19739392,0.80260605,1,1
covid-19-pneumonia-2.png,0.22992021,0.7700798,1,1
ryct2020200034fig5-day4.png,0.40370673,0.5962933,1,1
covid-19-pneumonia-7-PA.png,0.3526237,0.64737636,1,1
lancet-case2b.png,0.4415406,0.55845946,1,1
auntminnie-b-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.png,0.26472858,0.7352714,1,1
covid-19-pneumonia-15-PA.png,0.49619794,0.503802,1,1
6CB4EFC6-68FA-4CD5-940C-BEFA8DAFE9A7.png,0.38280234,0.61719763,1,1
CD50BA96-6982-4C80-AE7B-5F67ACDBFA56.png,0.37559187,0.62440807,1,1
all14238-fig-0001-m-c.png,0.48877448,0.51122546,1,1
01E392EE-69F9-4E33-BFCE-E5C968654078.png,0.22286765,0.77713233,1,1
all14238-fig-0001-m-b.png,0.42343575,0.5765642,1,1
7AF6C1AF-D249-4BD2-8C26-449304105D03.png,0.28478676,0.7152133,1,1
80446565-E090-4187-A031-9D3CEAA586C8.png,0.2893145,0.71068555,1,1
nejmoa2001191_f4.png,0.2515738,0.7484262,1,1
covid-19-pneumonia-14-PA.png,0.3436083,0.65639174,1,1
F2DE909F-E19C-4900-92F5-8F435B031AC6.png,0.36367145,0.6363286,1,1
E63574A7-4188-4C8D-8D17-9D67A18A1AFA.png,0.28649053,0.71350944,1,1
